Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-23,74.0,0.13,0.22,0.2956,-0.0812,0.0325,0.0236
2019-02-23,77.0,2.95,3.9,0.2202,0.8254,0.0746,0.0403
2019-02-23,77.0,0.39,0.47,0.2437,-0.1977,0.0733,0.0449
2019-02-23,78.5,2.25,2.45,0.228,0.6821,0.0998,0.0559
2019-02-23,78.5,0.65,0.78,0.2204,-0.3137,0.1034,0.0555
2019-02-23,80.0,1.34,1.42,0.2131,0.52,0.1194,0.0624
2019-02-23,80.0,1.2,1.33,0.2094,-0.4823,0.123,0.0624
2019-02-23,81.5,0.66,0.75,0.204,0.3392,0.1145,0.0573
2019-02-23,81.5,2.03,2.18,0.2019,-0.6669,0.1174,0.0573
2019-02-23,83.0,0.12,0.37,0.198,0.1844,0.0859,0.0417
2019-02-23,83.0,3.05,3.4,0.198,-0.8231,0.0882,0.0409
2019-02-23,85.5,0.06,0.1,0.2093,0.0579,0.0353,0.0181
2019-02-23,85.5,4.7,5.75,0.2093,-0.9543,0.0377,0.0162
2019-02-23,88.0,0.0,0.08,0.2093,0.0114,0.0091,0.0047
2019-02-23,88.0,6.75,8.3,0.2093,-1.0,0.0,0.0
2019-02-23,92.0,0.0,1.31,0.2093,0.0004,0.0004,0.0002
2019-02-23,92.0,10.85,12.35,0.2093,-1.0,0.0,0.0
2019-02-23,70.0,9.8,11.95,0.4649,0.8685,0.0207,0.0472
2019-02-23,70.0,0.15,0.28,0.3331,-0.0642,0.0171,0.0279
2019-02-23,72.0,8.15,10.05,0.4376,0.8286,0.0263,0.0563
2019-02-23,72.0,0.19,1.56,0.4376,-0.1715,0.0264,0.0575
2019-02-23,74.5,5.7,6.8,0.2867,0.8327,0.0395,0.0555
2019-02-23,74.5,0.43,0.53,0.2666,-0.1513,0.0399,0.0529
2019-02-23,77.0,3.9,4.8,0.2826,0.7108,0.0546,0.0757
2019-02-23,77.0,0.78,1.0,0.2426,-0.2637,0.0613,0.0733
2019-02-23,78.5,2.9,3.3,0.2474,0.634,0.0687,0.0833
2019-02-23,78.5,1.25,1.45,0.2372,-0.3634,0.0722,0.0841
