Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-16,82.5,0.75,0.95,0.2591,-0.2277,0.0489,0.0742
2019-02-16,85.0,3.1,3.4,0.2346,0.6406,0.0665,0.0897
2019-02-16,85.0,1.35,1.6,0.2392,-0.3634,0.0661,0.0911
2019-02-16,87.5,1.7,1.95,0.2233,0.4625,0.0742,0.0953
2019-02-16,87.5,2.35,2.65,0.2219,-0.542,0.0759,0.0952
2019-02-16,90.0,0.75,0.95,0.2112,0.2793,0.0664,0.0806
2019-02-16,90.0,3.8,4.2,0.2052,-0.7353,0.0695,0.0792
2019-02-16,92.5,0.25,0.35,0.1978,0.1294,0.0445,0.0506
2019-02-16,92.5,5.8,6.2,0.1931,-0.8921,0.0469,0.0461
2019-02-16,95.0,0.05,0.15,0.1978,0.053,0.0228,0.0259
2019-02-16,95.0,7.3,10.1,0.1931,-0.9741,0.0249,0.0164
2019-02-16,100.0,0.0,0.1,0.1978,0.0053,0.0032,0.0037
2019-02-16,100.0,11.0,15.5,0.1931,-1.0,0.0,0.0
2019-02-16,75.0,10.0,14.5,0.3246,0.9185,0.0158,0.0443
2019-02-16,75.0,0.25,0.45,0.32,-0.0786,0.0157,0.0444
2019-02-16,79.5,7.7,10.1,0.3757,0.7775,0.027,0.0876
2019-02-16,79.5,0.55,0.85,0.2748,-0.1582,0.0301,0.072
2019-02-16,80.5,6.8,8.3,0.3058,0.7856,0.0325,0.0857
2019-02-16,80.5,0.75,1.05,0.2748,-0.1929,0.0342,0.0831
2019-02-16,83.0,4.9,6.8,0.3112,0.6878,0.0387,0.104
2019-02-16,83.0,1.1,1.95,0.2691,-0.2925,0.0439,0.1021
2019-02-16,85.0,3.6,4.2,0.2454,0.6215,0.0527,0.1117
2019-02-16,85.0,1.75,2.55,0.2584,-0.3854,0.051,0.1117
2019-02-16,86.5,2.7,3.2,0.2342,0.5398,0.0577,0.1166
2019-02-16,86.5,2.3,2.95,0.2402,-0.4642,0.0572,0.1166
2019-02-16,88.5,1.7,2.05,0.2189,0.4182,0.0607,0.1147
2019-02-16,88.5,3.2,3.8,0.2203,-0.5876,0.0619,0.1151
2019-02-16,90.0,1.05,1.6,0.216,0.3301,0.0571,0.1064
2019-02-16,90.0,4.2,4.8,0.2217,-0.6738,0.0576,0.1077
2019-02-16,92.5,0.5,1.15,0.2057,0.1953,0.0457,0.0811
2019-02-16,92.5,4.8,6.7,0.1862,-0.8484,0.0494,0.0698
2019-02-16,95.0,0.2,0.5,0.1982,0.0985,0.0298,0.051
2019-02-16,95.0,6.5,9.9,0.1982,-0.9245,0.033,0.043
2019-02-23,73.0,10.5,15.0,0.2917,0.9978,0.0014,0.0012
2019-02-23,73.0,0.0,3.2,0.2917,-0.0022,0.0014,0.0012
2019-02-23,77.0,6.6,11.2,0.2917,0.9721,0.0131,0.0107
2019-02-23,77.0,0.0,1.2,0.2917,-0.0279,0.0131,0.0107
2019-02-23,79.5,6.2,6.7,0.2917,0.9121,0.0326,0.0268
2019-02-23,79.5,0.15,0.5,0.2917,-0.0879,0.0326,0.0268
2019-02-23,82.0,3.1,5.0,0.3136,0.7762,0.0568,0.0502
2019-02-23,82.0,0.3,0.9,0.3136,-0.2239,0.0572,0.051
2019-02-23,84.0,2.55,3.1,0.2743,0.6596,0.0797,0.0615
2019-02-23,84.0,0.85,1.5,0.29,-0.3484,0.0765,0.062
2019-02-23,85.5,1.6,2.0,0.25,0.5338,0.0948,0.0667
2019-02-23,85.5,1.4,2.05,0.2757,-0.469,0.0868,0.0667
2019-02-23,87.5,0.7,1.15,0.2446,0.3456,0.0899,0.0618
2019-02-23,87.5,2.35,2.9,0.2353,-0.6644,0.094,0.0614
2019-02-23,89.0,0.3,0.8,0.2508,0.232,0.0725,0.0512
2019-02-23,89.0,2.5,4.6,0.2471,-0.7767,0.0743,0.0515
2019-02-23,91.5,0.0,0.45,0.2549,0.1012,0.0414,0.0297
2019-02-23,91.5,4.2,8.3,0.2549,-0.9067,0.0427,0.0295
2019-02-23,93.5,0.0,1.6,0.2549,0.0438,0.0217,0.0156
2019-02-23,93.5,5.7,10.3,0.2549,-0.9667,0.0231,0.0133
2019-02-23,95.0,0.0,2.15,0.2549,0.0214,0.012,0.0086
2019-02-23,95.0,8.3,10.8,0.2549,-0.9914,0.0136,0.0046
2019-02-23,73.0,10.7,15.1,0.3229,0.9684,0.0093,0.0169
2019-02-23,73.0,0.05,0.7,0.3229,-0.0316,0.0093,0.0169
2019-02-23,77.0,8.4,11.4,0.3229,0.8962,0.0236,0.0427
2019-02-23,77.0,0.25,2.3,0.3229,-0.1038,0.0236,0.0427
2019-02-23,79.5,5.1,8.5,0.2793,0.8487,0.0354,0.0556
2019-02-23,79.5,0.3,0.95,0.3162,-0.1791,0.0351,0.0623
2019-02-23,82.0,2.75,5.3,0.1416,0.8823,0.0588,0.0468
2019-02-23,82.0,0.9,1.5,0.2905,-0.2723,0.0485,0.0785
2019-02-23,84.0,3.1,3.6,0.248,0.6366,0.0638,0.089
2019-02-23,84.0,1.45,1.9,0.2646,-0.3718,0.0609,0.0901
2019-02-23,85.5,2.25,2.9,0.2547,0.5362,0.0658,0.0942
2019-02-23,85.5,2.0,2.5,0.2545,-0.4665,0.0667,0.0942
2019-02-23,87.5,1.3,1.8,0.2393,0.3987,0.068,0.0915
2019-02-23,87.5,3.0,3.5,0.2415,-0.6049,0.0687,0.0903
2019-02-23,89.0,0.7,1.4,0.2929,0.3423,0.0529,0.0871
2019-02-23,89.0,3.9,5.5,0.2929,-0.6621,0.0538,0.0874
